AREA_NM,TY_ACCTO_CLTUR_ART_VIEWNG_ACT_CO,TY_ACCTO_CLTUR_ART_PARTCPTN_ACT_CO,TY_ACCTO_SPORTS_VIEWNG_ACT_CO,TY_ACCTO_SPORTS_PARTCPTN_ACT_CO,TY_ACCTO_VIEWNG_ACT_CO,TY_ACCTO_HOBBY_RCRT_ACT_CO,TY_ACCTO_REST_ACT_CO,TY_ACCTO_SCT_ND_ETC_ACT_CO,INDVDL_TV_WTCHNG_CO,INDVDL_INTNT_ACT_CO,INDVDL_CNTCT_ACT_CO,INDVDL_WLK_ACT_CO,INDVDL_GAME_ACT_CO,INDVDL_MVM_CO,INDVDL_MUSIC_LSTN_CO,INDVDL_PET_ACT_CO,INDVDL_SPORTS_INDRCT_VIEWNG_CO,INDVDL_READ_ACT_CO,INDVDL_SHOPNG_BRDOT_CO,INDVDL_NAP_CO,INDVDL_CMC_READ_CO,INDVDL_CLIMD_ACT_CO,INDVDL_RADIO_LSTN_CO,INDVDL_NWSPR_MZN_READ_CO,INDVDL_BATH_ACT_CO,INDVDL_GOLF_ACT_CO,INDVDL_NTHG_ACT_CO,INDVDL_LANG_TCHNLGY_CRTFCT_ACQS_ACT_CO,INDVDL_MOVIE_VIEWNG_CO,INDVDL_CYBER_SPORTS_VIEWNG_CO,INDVDL_FART_ACT_CO,INDVDL_GMBL_LTTR_PRCHS_CO,INDVDL_BLRDRM_ACT_CO,INDVDL_BCYCL_ACT_CO,HMPG_ADDR,INDVDL_LVLH_CRFT_ACT_CO,INDVDL_PHOTO_PHT_CO,INDVDL_CLUB_GROUP_CO,INDVDL_NATURE_ATRCT_VIEWNG_CO,INDVDL_SPORTS_VIEWNG_ACT_CO,INDVDL_DSPY_VIEWNG_CO,INDVDL_FSHNG_ACT_CO,INDVDL_COLCT_ACT_CO,INDVDL_SNGRUM_VISIT_CO,INDVDL_WRTNG_READ_DSCSN_ACT_CO,INDVDL_SCT_VLNTWK_ACT_CO,INDVDL_BTY_ACT_CO,INDVDL_FAMILY_ACQNTNC_VISIT_CO,INDVDL_TRDIT_ART_LRN_ACT_CO,INDVDL_CLTUR_RELICS_VISIT_CO,INDVDL_THEMEPARK_AMSMTPRK_ZOO_BTNCGDN_VISIT_CO,INDVDL_ETC_LSR_ACT_CO,INDVDL_MUSEUM_VIEWNG_CO,INDVDL_DMSTC_CAMPING_ACT_CO,INDVDL_AREA_FSTVL_PARTCPT_CO,INDVDL_GROUP_ACT_CO,INDVDL_TRDIT_ART_PBLPRFR_VIEWNG_CO,INDVDL_TOUR_SHIP_BRDNG_CO,INDVDL_OVSEA_TOUR_CO,INDVDL_LTRTR_EVENT_PARTCPTN_CO
서울,4.1,1.1,2.1,12.1,1.8,22.3,50.3,6.3,29.7,5.5,2.5,10.7,6,3.9,0.9,0.8,1.7,1.6,1.2,0.2,0.5,3,0.3,0.1,0.4,0.9,0.2,0.3,3.1,,0.2,0.1,0.5,0.9,0.4,0.2,0.2,0.1,0.2,1.7,0.5,0.5,0.1,0.2,0.1,0,0.1,0.2,0,0.2,0.4,0.1,0.2,0.6,0.1,0.3,,,0,
부산,0.4,0.4,0.7,5.7,0.3,26.5,63.3,2.6,50.4,13.8,2.4,3.4,4.9,1.4,1.2,1.1,0.7,1.8,0.2,0,0,0.3,0.2,0.3,0.1,0.4,0,1.2,0,,0.3,0,0.2,0.2,0,0,0,0,0.1,0.7,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,,0,,,0.2,
대구,1.5,0.5,1.7,12.3,0.6,25.1,55,3.4,42,12.2,1.7,6,4.4,2.8,1.5,0.7,0.9,1.2,0.9,0,0.3,1.6,0,0,0.4,1.4,0.2,0.2,1.5,,0.4,0.3,0.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.3,,0,,,0,
인천,1.9,0.5,1.4,7.6,0.3,23.3,61.6,3.4,50.7,13.5,1.5,4.7,3.6,3,1.1,0.7,0.9,0.5,0.9,0.2,0.2,0.4,0.4,0,1,0.4,0.2,0.6,1.4,,0.2,0,0.4,0.3,0,0.2,0,0,0,0.9,0.5,0.7,0,0.1,0,0,0.2,0.1,0,0,0.1,0.2,0,0.2,,0,,,0,
광주,2.8,0,3.1,17.8,5.7,13.6,50.8,6.3,33.4,3.1,1.8,7.7,4.2,5.2,1.5,0.1,2.9,0.7,0.2,0.4,0,1.2,0.4,0,0.4,0.6,0.7,0,1.9,,0,0,0.4,1.2,0,0.1,0,0.1,0.8,2.9,0,0.4,0,0,0,0,0.8,0,0,0,1,0,0.5,2.4,,0,,,0,
대전,0.5,0.6,0,6,0.5,17.7,71.4,3.3,46.9,5.4,0.4,8.2,6.7,0.6,1.5,2.8,0,0.3,0,0.6,0,0.6,0.4,0,0,0.8,0,0.6,0.5,,0,0,0.2,1.5,0,0.4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,
울산,0.5,0.6,0,5.4,0,13.8,15.6,4.1,59.2,2.6,3.5,3.9,6.4,1.7,1.2,0.7,0,1.1,0,0.4,0,0.6,0.3,0,0,0,0,0.7,0,,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,
세종,0,0,0,3.3,0,16.1,80.7,0,35,10,0,10.7,2,1.7,5.2,0.9,0,3.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,
경기,0.5,1.5,2.4,12,1.6,29.2,43.2,5.1,34.3,9.6,1.8,9,5.8,3.5,1.8,1.9,2,1.6,2.4,0.4,0.6,1.7,0.5,0.2,0.7,0.8,0.1,0.5,3.8,,0.3,0,0.4,0.9,0.1,0.4,0.1,0.1,0.5,2,0.5,0.6,0.2,0.2,0.1,0.3,0.2,0,0,0.2,0.1,0.1,0.3,0.4,,0.1,,,0.1,
강원,1.4,0.7,1.1,10.3,1,17.1,64.1,4.2,48.3,3.4,1.3,6,6.1,1.5,3.8,0.4,0.7,0.8,1.6,2.4,0,1.4,0.3,0,1.1,1.3,0,0.5,1.1,,0,0,1,0,0,0.2,0,0.5,0,0.7,0,0.2,0,0,0,0.7,0.4,0,0,0,0,0.2,0,0.5,,0,,,0,
충북,0,0.7,1.3,6.4,0.2,12.1,73.4,6,59,4.7,3.6,7.6,3.6,3,1.6,1.5,1.3,0,0.7,0.3,0.2,0,0.5,0,0.2,0,0,0.1,0,,0.3,0.2,0,0.7,0,0,0.3,0,0,1.3,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0.2,,0,,,0,
충남,0.2,1.6,1.1,4.4,0.1,25.8,62.6,4.1,53.1,16.1,2,2.2,4.1,1.6,0.4,2.5,1.1,0.8,0.2,0.1,0,0,0,0,0,0,0.6,0,0.1,,0.3,0,0.2,0,0,0.4,0,0,0,1.1,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,,0,,,0,
전북,6.1,0.3,3.2,12,2.6,13.3,60.5,2.1,41.6,1.7,0.3,3,5.1,4.8,5.6,0.3,2.3,0.6,0.2,0.6,0.7,1.2,3.2,0,0.2,0.7,0.4,0.2,4.4,,0,0,0.4,0,0.3,0.3,0,0.1,0.5,2.3,0,0.2,0.2,0,0,0.2,0.1,0,0.8,0,0.3,0,0.6,0.7,0.6,0,0.8,,0,
