id,2019년 취미
0,독서
1,여행
2,여행
3,독서
4,축구
5,돈
6,골프
7,돈
8,육아
9,기억안남
10,연애
11,자동차
12,베이킹
13,일본 불매
14,게임
15,해외여행
16,헬스
17,등산
18,뮤지컬
19,넷플릭스
20,대학진학
21,비트코인
22,제대
23,바둑
24,코로나
25,운동(태권도)
26,취미없음
27,기억안남
28,부동산 및 금융시장
29,유럽여행
30,여행
31,여행
32,아이돌 NCT 
33,여행
34,음주
35,바흐 협주곡
36,기억안남
37,발레
38,연애
39,실내자전거
39,발레공연
39,전시회관람
40,육아
41,기억안남
42,각국 드라마 탐방
43,베이킹
44,골프
45,여행
46,개 돌보기
47,여행
48,쇼핑
49,자전거
50,해외여행
51,등산
52,수영
52,풋살 
53,독서
53,헬스
54,여행
55,2차전지
56,인턴생활
57,연애
58,신혼생활
59,여행
60,여행
61,자전거
62,농구관람
63,해외여행
64,여행 및 회식
65,야구직관
66,러닝
67,맨몸운동
68,카톡
69,스노우보드
70,방탈출
71,여행
72,출근 / 동호회 활동
73,음주가무
74,웹소설
75,게임
76,음주
77,여행
78,동호회
79,기억안남
80,독서
80,육아
81,일
82,뒷풀이
83,여행
83,필라테스
84,이직
85,맛집탐방
86,술
87,유럽여행
88,연애
89,맛집탐방
90,스쿠버다이빙
91,넷플릭스 시청
92,회사업무
93,취미
94,요가
95,모든 취미
96,사업아이템 찾기
97,bts 덕질
98,해외여행
99,축구
100,게임
101,식물 키우기
102,기억
103,연애
104,게임
105,대학원졸업
106,뮤직페스티벌
107,게임
108,출산준비
110,쇼핑
111,미국여행
112,게임 
113,취미활동 본격 시작
114,일
115,기억안남
116,독서
117,독서
118,뮤지컬
119,음주가무
120,이직준비
121,게임
122,미술
122,해외여행
123,원데이클래스
124,신혼여행
125,서울 맛집
126,취미없음
127,여행
128,플레이스테이션 저스트댄스
129,작곡
130,노재팬 시기에 일본 출장
131,서핑
132,취업
133,PT
133,헬스
134,버닝썬 사건
135,요리
136,자격증 수집
137,기타연주
