타임스탬프,귀하의 성별은 무엇입니까,귀하는 몇년도에 태어나셨습니까,귀하의 직업군은 어떻게 되십니까 ,월 평균 취미를 위해 얼마 정도를 쓰시나요?,귀하의 최종 학력은 어떻게 되십니까?,귀하는 어디에 사십니까,귀하의 결혼여부가 궁금합니다.,귀하는 호오오오옥시 연애 중이신가요?,귀하의 취미는 무엇일까요? 자유롭게 적어주세요,귀하의 취미를 즐기신지는 얼마나 되었을까요? ,귀하의 MBTI는 어떻게 되실까요?,어떤 취미나 취미활동을 현재 가지고 있나요? 유사한 것이 있다면 모두 골라주세요,일주일에 얼마나 자주 취미 활동을 하시나요?,취미를 즐기는 이유가 무엇인가요?(중복선택 가능),2019년에는 무엇이 가장 흥미로우셨나요?,(선택사항) 2019년에 가장 흥미로웠던 이유는 무엇일까요?,2020년에는 무엇이 가장 흥미로우셨나요?,(선택사항) 2020에 가장 흥미로웠던 이유는 무엇일까요?,2021년에는 무엇이 가장 흥미로우셨나요?,(선택사항) 2021에 가장 흥미로웠던 이유는 무엇일까요?,2022년에는 무엇이 가장 흥미로우셨나요?,(선택사항) 2022에 가장 흥미로웠던 이유는 무엇일까요?,2023년에는 무엇이 가장 흥미로우신가요?,(선택사항) 2023에 가장 흥미로웠던 이유는 무엇일까요?,2024년에는 무엇이 가장 땡기시나요?,(선택사항) 2024년에 가장 땡기는 이유가 무엇일까요?,취미생활을 위해서 사용하는 플랫폼이 있나요?,"(선택사항) 본인은 취미 트렌드에 민감하신 편인가요?
1(매우 둔감)에서 8(매우 민감) 사이의 숫자로 표현해주세요.",혹시 최근에 가장 흥미로운 취미나 활동이 있으신가요?
2023/11/07 8:21:01 오전 GMT+9,남성,1981년~1990년,,,대학교 졸업(학사졸업),서울의 서쪽,기혼,,독서,,INTJ,독서,주 2~3회,스트레스 해소,독서,,헬스,,독서,,결혼,,독서,,음주,,사용 안함,,음주
2023/11/07 9:23:19 오전 GMT+9,여성,1991년~1995년,,,대학교 졸업(학사졸업),서울의 서쪽,미혼,휴식중,여행,,ISTJ,스포츠 관련 취미 ( 각종 스포츠 직접 하기 혹은 스포츠 관람),주 2~3회,자기계발;스트레스 해소,여행,,넷플릭스,,휴,,골프,,여행,,배트민턴,,프립,,배트민턴
2023/11/07 2:19:44 오후 GMT+9,남성,1991년~1995년,,,대학교 졸업(학사졸업),서울의 남쪽,미혼,휴식중,게임,,INTJ,독서,주 2~3회,자기계발;스트레스 해소,여행,,일,,테니스,,투자,,대학원,,휴식,,사용 안함,,뮤지컬
2023/11/08 8:54:08 오전 GMT+9,남성,1981년~1990년,금융인,10만원 초과 30만원 이하,대학교 졸업(학사졸업),서울의 서쪽,기혼,,독서,5년 이상,ISTJ,독서;음주,주 2~3회,자기계발;스트레스 해소,독서,,음주,,헬스,,독서,,독서,,음주,,사용 안함,2,
2023/11/08 4:21:59 오후 GMT+9,남성,1981년~1990년,금융인,10만원 초과 30만원 이하,대학교 졸업(학사졸업),서울의 북쪽,기혼,,"축구, 골프",5년 이상,ISFJ,"축구, 야구, 농구, 배구 등 스포츠 관람 취미;시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)",주 1회,스트레스 해소,축구,스트레스 해소,넷플릭스,집밖을 못나가서 이것뿐이 할게 없어서,넷플릭스,2020과 같음,축구,코로나가 풀려서 원래하던거 했음,골프,새로운 운동시작,골프,다양한 사람들 만나면서 새로운 운동 해볼라고,아이디어스;,3,골프
2023/11/08 4:28:51 오후 GMT+9,남성,1981년~1990년,IT인,60만원 초과 100만원 이하,대학교 졸업(학사졸업),서울의 남쪽,기혼,,골프,3년 ~ 5년,Esfj,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)",주 1회,자기계발;스트레스 해소,돈,돈을잘벌어서,골프,스트레스해소,와이프,이유없다,골프,자기개발,골프,자기개발,골프,자기개발,사용 안함,5,
2023/11/08 4:31:30 오후 GMT+9,남성,1981년~1990년,"일반직장인(재무, 구매, 설계 등등)",30만원 초과 60만원 이하,대학교 졸업(학사졸업),강원도,기혼,,골프,5년 이상,모름,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)",월 1회,스트레스 해소;새로운 만남,골프,골프가좋아서,골프,골프가좋아서,골프,골프가좋아서,골프,골프가좋아서,골프,골프가좋아서,골프,골프가좋아서,오프라인 동호회,2,골프
2023/11/08 4:54:12 오후 GMT+9,남성,1981년~1990년,"사장님, 대표님 등 헤드(친하게 지내요)",100만원 초괏갓갓갓갓,석사 졸업,이탈리아,기혼,,"바이크타기, 쇼핑하기",5년 이상,INFP,"악기 연주( 현악, 관악 등 모두 가능);요리;비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등);하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)",주 1회,스트레스 해소,돈 버는 거,돈을 잘 벌어서,코로나19,코로나가 세상을 지배해서,코로나19,아직도 코로나가 진행중이라서,자유로운거,코로나가 사라져서,일 하는거,자유롭게 일을 다시 할 수 있어서,좋은 자동차 구매하기,신나게 타고 싶어서,사용 안함,5,없네요.
2023/11/08 6:50:40 오후 GMT+9,남성,1981년~1990년,금융인,60만원 초과 100만원 이하,대학교 졸업(학사졸업),서울의 서쪽,기혼,,골프,5년 이상,entj,"독서;구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등);자기계발 등 공부",주 2~3회,새로운 만남,아들과의 만남,출산,새로운 지점 운영,영업사원들과의 지향점 통일성,발령 및 또다른 도전,,이직,,내 사업 본격시작,가족같은 사람과 평생 일할 수 있어서,우리 지사 가족들에 풍요로움과 행복함,99% 돈,오프라인 동호회,,
2023/11/08 7:18:36 오후 GMT+9,남성,1976년~1980년,"사장님, 대표님 등 헤드(친하게 지내요)",1만원 초과 10만원 이하,고등학교 졸업,서울 밖의 경기,기혼,,농구,5년 이상,안했어요,"축구, 야구, 농구, 배구 등 스포츠 관람 취미",주 1회,스트레스 해소;새로운 만남,생각안남,생각안남,생각안남,생각안남,아기보기,베이비 생겨서 어찌할지 몰랐다,베이비 크는걸 보며 흥미를 ㅎ,크는것만 보아도 좋다,없음,없음,자기관리,자기관리가 안되고 있다,오프라인 동호회,4,농구
2023/11/08 8:49:55 오후 GMT+9,남성,1981년~1990년,"일반직장인(재무, 구매, 설계 등등)",100만원 초괏갓갓갓갓,석사 졸업,지방,미혼,연애중,운동,3개월 ~ 6개월,Isfj,"축구, 야구, 농구, 배구 등 스포츠 관람 취미",주 1회,스트레스 해소,연예,,축구,,주식,,술,,헬스,,연예,,오프라인 동호회,4,헬스
2023/11/08 9:02:21 오후 GMT+9,남성,1981년~1990년,의료인,100만원 초괏갓갓갓갓,대학교 졸업(학사졸업),서울의 북쪽,기혼,,홀덤 낚시,5년 이상,esfp,홀덤,주 1회,스트레스 해소,자동차,신차,인서울,인서울,연봉협상,연봉인상,홀덤대회우승상금,우승할뻔..,홀덤우승,우승할거같아서,아파트청약당첨,내집마련,사용 안함,5,
2023/11/08 9:28:10 오후 GMT+9,여성,1991년~1995년,교육인,30만원 초과 60만원 이하,석사 졸업,서울의 남쪽,미혼,휴식중,"기타, 테니스, 레고, 유툽",3년 ~ 5년,enfj,"악기 연주( 현악, 관악 등 모두 가능);축구, 야구, 농구, 배구 등 스포츠 관람 취미;예술 관련 관람 취미 (미술관 관람 등);시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등);독서;구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등);보드게임(부루마불, 할리갈리 등)",주 2~3회,자기계발;스트레스 해소,베이킹,자격증 취득 준비,연극,연극을 자주 봄,꽃꽂이,함께 하는 친구들과 힐링,기타 연주,,테니스,공 맞추는게 재미있음,테니스,,사용 안함;학원,6,
2023/11/08 9:28:20 오후 GMT+9,여성,1991년~1995년,"일반직장인(재무, 구매, 설계 등등)",30만원 초과 60만원 이하,대학교 졸업(학사졸업),서울의 서쪽,미혼,휴식중,독서 운동 눕기 잠자기 LP,3년 ~ 5년,infp,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등);독서;예술 창작 활동(글쓰기, 공예, 드로잉 등);자기계발 등 공부",주 2~3회,자기계발;스트레스 해소,일본 불매,,코로나,,퇴사,,이직,,딱히 없음,,새로운 도전,,소모임,6,
