id,흥미취미
0,음주
1,배드민턴
2,뮤지컬
4,골프
6,골프
9,농구
10,헬스
14,운동
15,필라테스
18,테니스
19,강아지랑놀기
20,OTT
22,맛집
22,뮤지컬
22,게임
23,가요듣기
24,클라이밍
24,서핑
26,등산
28,운동
29,꽃꽂이
30,홈트
31,와인모임
32,테니스
33,독서
34,원데이클래스
35,스포츠활동
37,등산
38,골프
39,프로야구관람
43,베이킹
43,여행블로그구상
45,골프
45,수정
46,클래식감상
47,독서
48,스쿼시
50,요가
51,투자
51,건강관련활동
52,쿵푸
53,와인모임
53,독서
54,식물키우기
57,헬스
58,시험보기
59,승마
60,필라테스
61,무역부업
62,탁구
63,패션
64,런닝
66,서핑
67,클라이밍
68,카톡
69,테니스
70,보드게임
71,필라테스
74,웹소설
75,보드게임
77,런닝
78,테니스
79,산행
80,투자
80,사업
81,테니스
82,스쿠버다이빙
84,스킨스쿠버
85,여행
86,클래식
86,테일러스위프트
87,야구
90,영화
92,골프
93,클라이밍
94,테니스
95,수영
96,골프
98,여행
98,맛집
101,보드게임
101,요가
102,테니스
103,꽃꽂이
105,게임
106,테니스
107,쿼리연습
108,위스키
108,창업
110,게임
111,골프
111,테니스
112,산악마라톤
113,골프
114,재테크
115,글쓰기모임
116,독서
118,런닝
120,마라톤
121,골프
122,네일아트
123,챌린지댄스
124,공부
125,등산
127,롤드컵
128,드라마
128,독서
129,테니스
130,크로스핏
130,클라이밍
132,위스키
134,Chatgpt그림
135,작곡
136,맛집탐방
