RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53332775,202306,F,20대,강원도,300만원 미만,"문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53338964,202306,F,20대,강원도,300만원 미만,관광-여행,"스포츠 관람하기, 관광-여행"
53346461,202306,M,20대,강원도,300만원 미만,자기계발-자기관리,자기계발-자기관리
53350147,202306,F,30대,강원도,300만원 미만,"관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53333780,202306,M,30대,강원도,300만원 미만,"문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 자기계발-자기관리","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 자기계발-자기관리"
53349334,202306,M,30대,강원도,300만원 미만,"문화예술 관람하기, 스포츠 관람하기, 오락-휴식, 사회교류","문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53345275,202306,M,30대,강원도,300만원 미만,"문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53347497,202306,M,40대,강원도,300만원 미만,오락-휴식,"문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식"
53366098,202306,F,40대,강원도,300만원 미만,"문화예술 관람하기, 오락-휴식","문화예술 관람하기, 오락-휴식"
53359870,202306,F,50대,강원도,300만원 미만,"운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리","운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53363481,202306,F,50대,강원도,300만원 미만,"문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53332910,202306,F,50대,강원도,300만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기","문화예술 관람하기, 운동-스포츠 직접하기, 자기계발-자기관리"
53362173,202306,F,60대,강원도,300만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 사회교류","문화예술 관람하기, 운동-스포츠 직접하기, 사회교류"
53365661,202306,F,60대,강원도,300만원 미만,"문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
