RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53322236,202209,F,40대,서울특별시,700만원 이상,"국내 여행, SNS -인터넷 커뮤니티 활동, 산책-걷기, 쇼핑, 독서, 요리-베이킹, 계모임-동창회-사교모임, 사회봉사활동, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","미술관-전시관 관람, 국내 여행, SNS -인터넷 커뮤니티 활동, 산책-걷기, 쇼핑, 독서, 요리-베이킹, 계모임-동창회-사교모임, 사회봉사활동, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53322261,202209,M,60대,서울특별시,300이상500만원 미만,"영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 드라이브, 기타 관광-여행, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 친구-이성친구 만남","영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 드라이브, 기타 관광-여행, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 친구-이성친구 만남"
53322315,202209,F,20대,서울특별시,700만원 이상,"등산 직접 하기, 드라이브, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 반려동물 돌보기, 요리-베이킹","음악 직접 활동 및 수강하기, 등산 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, 테마파크-시설 방문, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 반려동물 돌보기, 요리-베이킹"
53322372,202209,M,30대,경기도,300이상500만원 미만,"영화관 관람, 게임","영화관 관람, 게임"
53322387,202209,F,50대,서울특별시,300만원 미만,"등산 직접 하기, 요가-필라테스 직접 하기, 국내 여행, 온천-사우나-찜질방, 미용","춤-무용 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 골프 영상 시청, 등산 직접 하기, 요가-필라테스 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, SNS -인터넷 커뮤니티 활동, 쇼핑, 온천-사우나-찜질방, 음악-라디오 감상, 미용, 요리-베이킹, 종교활동, 친구-이성친구 만남"
53322564,202209,F,20대,서울특별시,무응답,"미술관-전시관 관람, 박물관 관람, 영화관 관람, 드라이브, SNS -인터넷 커뮤니티 활동, 낮잠자기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 독서, 반려동물 돌보기, 어학-기술-자격증 취득, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","미술관-전시관 관람, 박물관 관람, 영화관 관람, 국내 여행, 드라이브, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 독서, 반려동물 돌보기, 어학-기술-자격증 취득, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53322614,202209,F,40대,서울특별시,500이상700만원 미만,"걷기-속보-조깅 직접 하기, 등산 직접 하기, 익스트림스포츠 직접하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 드라이브, SNS -인터넷 커뮤니티 활동, 만화책 보기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 생활공예-원예, 요리-베이킹, 계모임-동창회-사교모임, 가족-친지 만남, 친구-이성친구 만남","걷기-속보-조깅 직접 하기, 등산 직접 하기, 익스트림스포츠 직접하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 드라이브, 액티비티-체험, SNS -인터넷 커뮤니티 활동, 만화책 보기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 생활공예-원예, 요리-베이킹, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53322673,202209,F,60대,서울특별시,300이상500만원 미만,"미술 직접 활동 및 수강하기, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 요리-베이킹, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","미술관-전시관 관람, 미술 직접 활동 및 수강하기, 국내 프로스포츠 현장 관람, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 어학-기술-자격증 취득, 요리-베이킹, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53322989,202209,M,20대,서울특별시,300이상500만원 미만,"헬스-보디빌딩 직접 하기, 드라이브, 테마파크-시설 방문, 게임, 쇼핑, 음주-유흥, 인테리어","헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, 액티비티-체험, 테마파크-시설 방문, 게임, 낮잠자기, 쇼핑, 음주-유흥, 반려동물 돌보기, 인테리어"
53323132,202209,F,50대,경기도,300만원 미만,"영화관 관람, 소풍-피크닉","영화관 관람, 국내 여행, 소풍-피크닉"
53323143,202209,M,40대,서울특별시,300이상500만원 미만,"국내 프로스포츠 현장 관람, 해외 프로스포츠 영상 시청, 등산 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 테마파크-시설 방문, 산책-걷기, 쇼핑, 독서, 종교활동, 가족-친지 만남","박물관 관람, 영화관 관람, 국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 테마파크-시설 방문, 맛집-카페 탐방, 산책-걷기, 쇼핑, 음악-라디오 감상, 독서, 종교활동, 가족-친지 만남, 친구-이성친구 만남"
53323200,202209,F,50대,서울특별시,300이상500만원 미만,"미술관-전시관 관람, 박물관 관람, 영화관 관람, 걷기-속보-조깅 직접 하기, 수영 직접 하기, 요가-필라테스 직접 하기, 헬스-보디빌딩 직접 하기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 독서, 생활공예-원예","미술관-전시관 관람, 박물관 관람, 영화관 관람, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 댄스스포츠 직접 하기, 수영 직접 하기, 요가-필라테스 직접 하기, 헬스-보디빌딩 직접 하기, 국내 여행, 캠핑-차박, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 독서, 생활공예-원예"
53323389,202209,M,60대,서울특별시,700만원 이상,"영화관 관람, 골프 직접 하기, 해외여행, 요리-베이킹, 계모임-동창회-사교모임","영화관 관람, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 등산 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 해외여행, 기타 관광-여행, SNS -인터넷 커뮤니티 활동, 낮잠자기, 산책-걷기, 어학-기술-자격증 취득, 요리-베이킹, 계모임-동창회-사교모임, 친구-이성친구 만남"
